Headline,Link,Dem,Rep,Combined,url,score,quality_quality_sources_score,quality_self_promotion_score,quality_diversity_sources_score,quality_quotes_score,quality_quotes_score,quality_source_credibility_score,quality_author_history_score,quality_opinion_score
f_cassingram-vaccines-gmo-death.png,https://cassingram.com/covid-19-shots-cause-death-and-disease-in-the-unvaccinated/,2.19,3.27,2.73,,,,,,,,,,
f_cloverchronicle-gates-vaccine-kill.png,https://cloverchronicle.com/2020/04/30/watch-bill-gates-admits-his-covid-19-vaccine-might-kill-nearly-1000000-people/,3.0,3.11,3.055,,,,,,,,,,
f_court  orders  tiger  woods  to  take  137  paternity  tests.jpg,https://worldnewsdailyreport.com/court-orders-tiger-woods-to-take-137-paternity-tests/,2.71,2.79,2.75,,,,,,,,,,
f_cuomo  coming  out  as  bisexual  for  cabinet  position.jpg,https://buffalochronicle.com/2020/11/29/source-cuomo-is-willing-to-come-out-as-bisexual-for-a-cabinet-position/,3.05,2.93,2.99,,,,,,,,,,
f_death  row  inmate  demands  to  be  served  a  live  cat  as  last  meal.jpg,https://worldnewsdailyreport.com/death-row-inmate-demands-to-be-served-a-live-cat-as-his-last-meal/,2.78,2.38,2.58,,,,,,,,,,
f_delaware  judge  rules  that  baby  yoda  affair  doesnt  count.jpg,https://worldnewsdailyreport.com/delaware-judge-rules-that-mans-affair-with-baby-yoda-doll-doesnt-classify-as-adultery/,2.62,2.64,2.63,,,,,,,,,,
f_democrats  stole  votes.png,https://www.thegatewaypundit.com/2021/10/democrats-reveal-big-clue-big-steal-operatives-manufactured-votes-low-income-voters-steal-battleground-states-start-canvassing/,3.43,3.43,3.43,,,,,,,,,,
f_derek  chauvin  suicide  in  prison.png,https://w24n.com/minneapolis-police-officer-who-killed-george-floyd-derek-chauvin-commits-suicide-in-prison-cell/,4.4,4.07,4.235,,,,,,,,,,
f_DOJ  to  investigate  people  chanting  F  Biden.png,https://dogfaceponia.com/merrick-garland-announces-doj-will-investigate-people-chanting-f-biden/,3.63,3.27,3.45,,,,,,,,,,
f_dominion  software  deleted  over  2  million  votes.jpg,https://www.distributednews.com/473962.html,3.21,3.76,3.485,,,,,,,,,,
f_euthanize  senior  citizens.png,https://dailyworldupdate.us/democrats-introduce-bill-to-euthanize-seniors-to-save-social-security/,3.03,2.76,2.895,,,,,,,,,,
f_eutimes-uk-pathologist-warns-spike.png,https://www.eutimes.net/2021/05/uk-pathologist-warns-spike-proteins-will-cause-all-men-to-lose-their-reproductive-capacity/,2.98,2.68,2.83,,,,,,,,,,
f_farsnews-civil-defense-chief.jpg,https://www.farsnews.ir/en/news/13981213000410/Civil-Defense-Chief-Crnavirs-Likely-Bilgical-Aack-agains-China-Iran,2.83,3.44,3.135,,,,,,,,,,
f_Fauci  planning  new  virus.png,https://www.thegatewaypundit.com/2021/10/explosive-video-emerges-fauci-hhs-officials-plotting-new-avian-flu-virus-enforce-universal-flu-vaccination-video/,2.76,3.22,2.99,,,,,,,,,,
f_fbi  behind  jan  6  riot.png,https://tatumreport.com/evidence-surfaces-fbi-planned-executed-january-6-capitol-riot/,3.25,3.11,3.18,,,,,,,,,,
f_fbi  investigating  whether  trump  spent  3  million  buying  votes.jpg,https://www.pastichepost.com/wisconsin-recount/?amp,3.72,2.36,3.04,,,,,,,,,,
f_flynn  exposes  raid  of  cia  vote  hacking  facility  in  germany.jpg,https://yournewswire.com/gen-flynn-exposes-raid-of-vote-hacking-cia-facility-in-germany-they-committed-treason/,3.13,3.29,3.21,,,,,,,,,,
f_Giuliani  offers  legal  services  in  exchange  for  pardon.png,https://thedailynooze.com/2020/12/02/in-exchange-for-pardon-giuliani-offers-lifetime-of-legal-services/,3.02,2.62,2.82,,,,,,,,,,
f_Giuliani_mypillow_pitchman.png,https://thedailynooze.com/2021/06/27/giuliani-prepares-for-new-role-as-mypillow-pitchman/,3.58,2.71,3.145,,,,,,,,,,
f_healthimpactnews-7-billion-vaccine.png,https://healthimpactnews.com/2020/7-billion-doses-of-covid-19-vaccine-for-worlds-population-of-7-billion-was-this-the-plan-all-along/,3.14,4.1,3.62,,,,,,,,,,
f_healthimpactnews-death-by-injection.jpeg,https://healthimpactnews.com/2021/181-dead-in-the-u-s-during-2-week-period-from-experimental-covid-injections-how-long-will-we-continue-to-allow-mass-murder-by-lethal-injection/,2.79,3.08,2.935,,,,,,,,,,
f_how  a  philly  mob  boss  stole  the  election.jpg,https://buffalochronicle.com/2020/11/14/exclusive-how-a-philly-mob-boss-stole-the-election-and-why-he-may-flip-on-joe-biden/,2.92,3.58,3.25,,,,,,,,,,
f_impeach  Pelosi.png,https://dailyworldupdate.us/governors-conference-votes-32-18-to-impeach-nancy-pelosi/,3.22,3.26,3.24,,,,,,,,,,
f_infowars-pseudoscience-vaccines.png,https://www.infowars.com/the-pseudoscience-of-vaccines-big-pharmas-final-solution/,3.05,3.69,3.37,,,,,,,,,,
f_infowars-unvaccinated-women-claim.png,https://www.infowars.com/posts/disturbing-unvaccinated-women-claim-unusual-menstrual-cycles-miscarriages-after-being-near-recently-vaccinated-individuals/?fbclid=IwAR2pAvJ0V8q19rsdYmsSS9fBTt-_s8HrPIyS0TP8U0zfUQqQs7daKAtoE8g,2.85,2.78,2.815,,,,,,,,,,
f_intellihub-toxic-vaccine.png,https://naturalnews.com/2020-01-13-un-health-experts-admit-toxic-vaccine-ingredients-are-harming-children-worldwide-transcript.html,3.29,3.15,3.22,,,,,,,,,,
f_Kamala  military  are  cowards.png,https://dailyworldupdate.us/zombie-marine-corps/,2.2,3.09,2.645,,,,,,,,,,
f_legal  battle  expected  over  will  left  to  sitcom  character  alf.jpg,https://worldnewsdailyreport.com/legal-battle-expected-over-a-96-year-old-ladys-will-after-she-bequeaths-75m-to-sitcom-character-alf/,2.78,3.23,3.005,,,,,,,,,,
f_lifesitenews-asymptomatic.png,https://www.lifesitenews.com/news/asymptomatic-transmission-of-covid-19-didnt-occur-at-all-study-of-10-million-finds/,2.77,3.26,3.015,https://www.lifesitenews.com/news/asymptomatic-transmission-of-covid-19-didnt-occur-at-all-study-of-10-million-finds/,75.0,0.875,1.0,1.0,1.0,1.0,0.5,0.71,0.75
f_lifesitenews-shed-spike-protein.png,https://www.lifesitenews.com/news/americas-frontline-doctors-covid-vaccinated-can-shed-spike-protein-harming-unvaccinated/,2.89,3.47,3.18,https://www.lifesitenews.com/news/americas-frontline-doctors-covid-vaccinated-can-shed-spike-protein-harming-unvaccinated/,67.0,0.6818181818181818,0.5,1.0,1.0,1.0,0.5,0.71,0.47
f_male  stripper  shot  5  times  after  showing  up  in  cop  costume.jpg,https://worldnewsdailyreport.com/male-stripper-shot-5-times-after-showing-up-at-a-gang-hideout-by-mistake-in-a-cop-costume/,3.24,2.86,3.05,,,,,,,,,,
f_Malia  Obama  jailed.png,https://dailyworldupdate.us/malia-obama-arrest/,2.44,3.61,3.025,,,,,,,,,,
f_mcconnell  to  cosponsor  bill  aimed  at  restricting  voting  rights  to  landowners.jpg,https://realnewsrightnow.com/2020/12/mcconnell-to-co-sponsor-bill-aimed-at-restricting-voting-rights-to-landowners/,3.53,2.79,3.16,,,,,,,,,,
f_McConnell  ups  Ventriloquism  game.png,https://www.flake.news/now/2020/11/09/mcconnell-ups,2.69,2.9,2.795,,,,,,,,,,
f_michelle  obama  thinks  she  deserves  supreme  court.jpg,https://dailyworldupdate.us/obamas-on-scotus/,3.25,3.26,3.255,,,,,,,,,,
f_miller  voted  trump  admins  sexiest  man.jpg,https://halfwaypost.com/2020/11/28/stephen-miller-voted-trump-administrations-sexiest-man/,2.97,2.43,2.7,,,,,,,,,,
f_more  proof  postal  workers  busted  dumping  mail.jpg,https://americasfreedomfighters.com/postal-worker/,3.75,4.07,3.91,,,,,,,,,,
f_nationalfile-report-pfizer-vaccine.png,https://nationalfile.com/report-pfizer-vaccine-confirmed-to-cause-neurodegenerative-diseases/,2.95,3.24,3.095,,,,,,,,,,
f_new  evidence  dominion  voting  software  was  used  by  china  to  rig  election.jpg,https://yournewswire.com/bombshell-new-evidence-dominion-voting-software-was-used-by-china-to-rig-election-for-democrats/,3.1,3.43,3.265,,,,,,,,,,
f_nj  brother  and  sister  allowed  to  marry.jpg,https://worldnewsdailyreport.com/new-jersey-brother-and-sister-allowed-to-marry-after-10-year-long-court-battle/,3.07,3.23,3.15,,,,,,,,,,
f_Norway  reclassifies  covid  as  common  flu.png,https://www.world-today-news.com/norway-has-reclassified-covid-19-as-a-common-flu/,2.92,3.57,3.245,,,,,,,,,,
f_Obama  foundation  owns  82   mail-in  ballot  printers.png,https://obamawatcher.com/2020/06/cheatin/,3.17,3.09,3.13,,,,,,,,,,
f_obama  i  already  made  america  great.jpg,https://dailyworldupdate.us/obama-made-america-great/,3.67,3.26,3.465,,,,,,,,,,
f_omar  spits  on  the  tomb  of  the  unknown  soldier.jpg,https://tatersgonnatate.com/spitters-are-quitters/,2.78,3.0,2.89,,,,,,,,,,
f_orthospinenews-us-hospitals-paid.jpeg,https://orthospinenews.com/2020/04/27/us-hospitals-getting-paid-more-to-label-cause-of-death-as-coronavirus/,3.3,4.4,3.85,,,,,,,,,,
f_pelosi  files  to  have  trump  tried  before  un  court.jpg,https://dailyworldupdate.us/untrial/,3.16,3.58,3.37,,,,,,,,,,
f_pence  regrets  that  trump  didnt  do  more  to  reverse  gay  agenda.jpg,https://halfwaypost.com/2020/11/30/mike-pence-regrets-that-trump-didnt-do-more-to-reverse-territorial-gains-made-by-the-gay-agenda/,3.41,3.26,3.335,,,,,,,,,,
f_police  told  to  investigate  thousands  of  fake  biden  votes.jpg,https://yournewswire.com/police-told-to-investigate-thousands-of-fake-biden-votes-found-at-wisconsin/,2.85,4.34,3.595,,,,,,,,,,
f_Portland  bans  public  urinals.png,https://www.thegatewaypundit.com/2019/09/portland-bans-urinals-in-public-buildings/,2.91,3.11,3.01,,,,,,,,,,
f_portland  to  allow  furries  to  defecate  mate  in  dog  parks.jpg,https://realnewsrightnow.com/2016/05/portland-city-council-votes-to-allow-furries-to-defecate-mate-in-dog-parks/,2.63,2.3,2.465,,,,,,,,,,
f_potatriotsunite-clinton-medical-supply.jpg,https://potatriotsunite.com/clinton-owned-medical-supply-company-quadruples-price-for-ventilators-and-masks/,3.57,3.86,3.715,,,,,,,,,,
f_president  says  ca  fires  made  worse  by  windmills.jpg,https://alternative-science.com/ca-windmills/,2.95,2.73,2.84,,,,,,,,,,
f_prominent  dem  arrested  charged  with  6  felonies.jpg,https://rightwingtribune.com/2020/10/01/prominent-dem-arrested/,2.98,3.13,3.055,,,,,,,,,,
f_redefine  mass  in  mass  shooting.png,http://www.unsourcednews.com/gop-only-way-to-reduce-mass-shootings-is-to-redefine-mass/,3.33,2.77,3.05,,,,,,,,,,
f_Republicans  move  voting  booth  to  mountain  top.png,http://www.unsourcednews.com/georgia-republicans-move-atlanta-voting-booth-to-icy-mountaintop/,2.5,1.94,2.22,,,,,,,,,,
f_Republicans  to  support  democratic  leader  chosen  on  the  basis  of  race.png,https://www.beyondtheechochamber.com/republicans-to-support-democratic-leader-being-chosen-based-on-race-instead-of-merit/,3.26,2.56,2.91,,,,,,,,,,
f_rnc  quietly  removes  supporting  american  democracy  from  platform.jpg,https://www.politicalgarbagechute.com/rnc-supporting-democracy/,3.3,3.3,3.3,,,,,,,,,,
f_Rupaul  touched  by  Trump.png,https://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,3.49,2.45,2.97,,,,,,,,,,
f_russian  hackers  insert  porn  pages  into  married  mans  browser  history.jpg,https://www.the-postillon.com/2017/08/russian-hackers.html,2.83,2.96,2.895,,,,,,,,,,
f_shocking  revelation  and  divorce  after  obama  admits  gay.jpg,https://empirenews.net/michelle-obama-files-for-divorce-after-shocking-revelation-barack-obama-admits-im-gay/,2.11,2.19,2.15,,,,,,,,,,
f_soros  arrested  in  philadelphia  election  interference.jpg,https://yournewswire.com/george-soros-arrested-in-philadelphia-for-election-interference-judge-orders-media-blackout/?fbclid=IwAR3OHFvphOWzPLM-zhGypmkA4qsRmj34NWZB_fYCj1CFki2aEbJiETNB1ro,3.87,3.32,3.595,,,,,,,,,,
f_Taylor  Swift  humiliates  fan  for  wearing  Trump  shirt.png,https://dailyworldupdate.us/swiftboated/,3.35,3.8,3.575,,,,,,,,,,
f_thetruedefender-9 -women-lose-unborn.png,https://thetruedefender.com/920-women-lose-their-unborn-babies-after-getting-vaccinated/,2.75,3.62,3.185,,,,,,,,,,
f_torontotoday-putins-daughter-dies.png,https://www.torontotoday.net/2020/08/15/vladimir-putins-daughter-dies-after-second-dose-of-covid-vaccine/,2.93,2.7,2.815,,,,,,,,,,
f_Trump  adding  Gambini  to  legal  team.png,https://thedailynooze.com/2018/03/22/trump-looking-to-add-vincent-gambini-to-legal-team/,3.4,2.71,3.055,,,,,,,,,,
f_trump  claims  pfizer  and  moderna  had  never  even  heard  of  vaccines.jpg,https://www.notreally.news/trump-pfizer-moderna/,2.93,3.12,3.025,,,,,,,,,,
f_Trump  does  not  know  Junior.png,https://thedailynooze.com/2018/08/02/donald-trump-claims-he-hardly-knows-donald-trump-junior/,2.95,2.02,2.485,,,,,,,,,,
f_Trump  library  in  Moscow.png,https://thedailynooze.com/2019/10/01/breaking-news-trump-presidential-library-to-be-located-in-moscow/,2.89,1.84,2.365,,,,,,,,,,
f_Trump  misremembers  Pearl  Harbour  attackers.png,https://thedailynooze.com/2020/12/13/trump-vows-to-fight-on-was-it-over-when-the-germans-bombed-pearl-harbor/,3.28,3.56,3.42,,,,,,,,,,
f_Trump  orders  people  to  stop  eating  Chinese  food.png,https://www.dailykos.com/stories/2019/8/24/1881141/-Trump-Orders-Americans-To-Stop-Eating-Chinese-Food,2.93,2.14,2.535,,,,,,,,,,
f_trump  proposes  one  child  law  for  hispanics.jpg,http://now8news.com/donald-trump-proposes-one-child-law-for-hispanics/,2.82,2.44,2.63,,,,,,,,,,
f_Trump  sue  founding  fathers.png,https://thedailynooze.com/2019/10/22/trump-threatens-to-sue-founding-fathers/,2.71,2.34,2.525,,,,,,,,,,
f_trump  tells  supreme  court  he  really  wanted  to  be  president.jpg,https://www.notreally.news/trump-supreme-court-election/,4.02,3.96,3.99,,,,,,,,,,
f_Trump  turns  to  religion.png,https://thedailynooze.com/2019/10/15/trump-turns-to-religion-to-get-through-troubled-times/,2.92,3.7,3.31,,,,,,,,,,
f_trump  voter  wants  taco  bell  shut  down  for  being  too  mexican.jpg,https://www.alternativelyfacts.com/clem-taco-bell/,3.33,2.71,3.02,,,,,,,,,,
f_Trump  xmas  in  jail.png,https://www.flake.news/now/2020/12/09/trump-to-spend-christmas,2.44,2.1,2.27,,,,,,,,,,
f_trunews-quantum-dot-tattoos.jpg,https://www.trunews.com/stream/mark-of-the-beast-gates-wants-coronavirus-patients-implanted-with-quantum-dot-tattoos,2.71,2.52,2.615,,,,,,,,,,
f_Tucker  Carlson  forced  to  sell  tie  collection.png,https://thedailynooze.com/2020/06/14/staring-at-hard-times-tucker-carlson-may-be-forced-to-sell-bow-tie-collection/,2.7,2.43,2.565,,,,,,,,,,
f_vaccines-vaccinated-spread.png,https://www.vaccines.news/2018-11-14-proof-vaccinated-people-are-spreading-communicable-disease.html,2.55,3.07,2.81,,,,,,,,,,
f_vanguardngr-warning-facemask.jpeg,https://www.vanguardngr.com/2020/05/warning-prolonged-use-of-facemask-produces-hypoxia/,3.17,4.06,3.615,,,,,,,,,,
f_white  nationalists  granted  permit  for  mock  hanging  outside  afro  american  museum.jpg,http://now8news.com/white-nationalists-granted-permit-mock-hanging/,3.48,3.03,3.255,,,,,,,,,,
f_woman  sues  samsung  for  millions  after  cell  phone  gets  stuck.jpg,https://worldnewsdailyreport.com/woman-sues-samsung-for-1-8m-after-cell-phone-gets-stuck-inside-her-vagina/,2.53,2.43,2.48,,,,,,,,,,
t_    election  was  secure  per  Wisconsin  audit  results.png,https://thehill.com/homenews/state-watch/578075-wisconsin-audit-finds-its-elections-are-secure,4.18,3.43,3.805,https://thehill.com/homenews/state-watch/578075-wisconsin-audit-finds-its-elections-are-secure,69.0,1.0,0.0,0.2,0.0,0.0,0.8,0.73,1.0
t_3  Maryland  counties  plan  to  secede.png,https://www.nytimes.com/2021/10/22/us/politics/maryland-counties-west-virginia-request.html,2.87,3.83,3.35,https://www.nytimes.com/2021/10/22/us/politics/maryland-counties-west-virginia-request.html,65.0,1.0,0.0,0.4,1.0,1.0,0.8,0.78,0.18
t_40  percent  refugees  are  kids.png,https://www.cnn.com/2021/10/20/politics/afghan-children-at-us-bases/index.html,4.09,4.07,4.08,https://www.cnn.com/2021/10/20/politics/afghan-children-at-us-bases/index.html,58.0,0.75,0.0,0.4,1.0,1.0,0.5,0.66,0.7
t_Arizona  AG  asks  to  block  vax  mandate.png,https://thehill.com/homenews/state-watch/578058-arizona-attorney-general-asks-for-restraining-order-to-block-federal,4.0,4.52,4.26,https://thehill.com/homenews/state-watch/578058-arizona-attorney-general-asks-for-restraining-order-to-block-federal,53.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,1.0
t_Biden  administration  recognizes  link  between  climate  change  and  migration.png,https://www.foxnews.com/politics/biden-administration-recognizing-climate-change-migration-link,4.24,3.55,3.895,https://www.foxnews.com/politics/biden-administration-recognizing-climate-change-migration-link,63.0,0.5,0.0,0.2,1.0,1.0,0.5,0.67,1.0
t_Biden  appoints  a  republican.png,https://www.cnn.com/2021/10/26/politics/kim-wyman-election-security-announcement/index.html,3.82,3.23,3.525,https://www.cnn.com/2021/10/26/politics/kim-wyman-election-security-announcement/index.html,45.0,0.5,0.0,0.2,1.0,1.0,0.5,0.6,0.27
t_biden  backs  compensation  to  illegal  immigrants.png,https://www.foxnews.com/politics/biden-idea-payments-illegal-immigrants-backs-compensation,4.0,3.92,3.96,https://www.foxnews.com/politics/biden-idea-payments-illegal-immigrants-backs-compensation,60.0,0.5833333333333334,0.0,0.4,1.0,1.0,0.5,0.68,0.71
t_Biden  creates  climate  plan  B.png,https://www.nytimes.com/2021/10/22/climate/biden-climate-plan.html,4.2,4.02,4.11,https://www.nytimes.com/2021/10/22/climate/biden-climate-plan.html,79.0,1.0,0.0,0.6,1.0,1.0,0.8,0.81,0.81
t_Biden  defend  Taiwan.png,https://www.foxnews.com/politics/biden-pledges-to-protect-taiwan-if-china-attacks,4.18,3.86,4.02,https://www.foxnews.com/politics/biden-pledges-to-protect-taiwan-if-china-attacks,54.0,0.5625,0.0,0.4,1.0,1.0,0.5,0.45,0.57
t_Biden  embraces  Trump  policy.png,https://apnews.com/article/donald-trump-joe-biden-middle-east-africa-ab22eb240158bfeea2b92f3914e6f50d,3.47,2.62,3.045,https://apnews.com/article/donald-trump-joe-biden-middle-east-africa-ab22eb240158bfeea2b92f3914e6f50d,76.0,1.0,0.0,0.2,1.0,1.0,1.0,0.75,0.85
t_Biden  leaving  Americans  stranded  in  Afghanistan.png,https://www.foxnews.com/media/mcconnell-biden-withdrawal-leaving-15000-americans-stranded-out-in-the-country-at-mercy-of-taliban,3.6,4.42,4.01,,,,,,,,,,
t_Biden  more  getaways  than  Trump.png,https://www.cnn.com/2021/10/23/politics/joe-biden-weekends-away/index.html,3.6,4.31,3.955,https://www.cnn.com/2021/10/23/politics/joe-biden-weekends-away/index.html,59.0,0.5,0.0,0.2,1.0,1.0,0.5,0.66,1.0
t_biden  passes  trillion  dollar  infra  bill.png,https://www.usatoday.com/story/news/politics/2021/11/05/house-passes-bipartisan-infrastructure-bill/8580227002/,4.48,4.58,4.53,https://www.usatoday.com/story/news/politics/2021/11/05/house-passes-bipartisan-infrastructure-bill/8580227002/,75.0,1.0,0.0,0.2,1.0,1.0,0.8,0.76,1.0
t_Biden  poll  numbers  slide.png,https://www.foxnews.com/politics/biden-shaky-ground-democrats-poll-numbers-slide,3.65,4.51,4.08,https://www.foxnews.com/politics/biden-shaky-ground-democrats-poll-numbers-slide,68.0,0.6818181818181818,0.0,1.0,1.0,1.0,0.5,0.71,0.64
t_Biden  rule  might  lead  to  migrant  surge.png,https://www.foxnews.com/politics/gop-lawmakers-unconstitutional-biden-asylum-rule-fuel-migrant-surges-border,3.46,4.78,4.12,https://www.foxnews.com/politics/gop-lawmakers-unconstitutional-biden-asylum-rule-fuel-migrant-surges-border,62.0,0.2857142857142857,0.0,0.4,1.0,1.0,0.5,0.68,1.0
t_Biden  says  free  community  college  is  out  of  economic  package.png,https://www.cnn.com/2021/10/19/politics/biden-house-democrats-tuition-free-community-college/index.html,4.0,3.81,3.905,https://www.cnn.com/2021/10/19/politics/biden-house-democrats-tuition-free-community-college/index.html,51.0,0.5,0.0,0.2,0.0,0.0,0.5,0.65,0.73
t_biden  targets  oil  and  gas  industry.png,https://www.usatoday.com/story/news/politics/2021/11/02/biden-targets-forest-protection-methane-emissions-day-2-cop-26/6239713001/,3.89,3.98,3.935,https://www.usatoday.com/story/news/politics/2021/11/02/biden-targets-forest-protection-methane-emissions-day-2-cop-26/6239713001/,70.0,1.0,0.0,0.2,0.0,0.0,0.8,0.75,1.0
t_Biden  wants  to  open  US  consulate  in  Jerusalem.png,https://www.yahoo.com/now/biden-promised-reopen-jerusalem-consulate-083008361.html,3.65,3.48,3.565,https://www.yahoo.com/now/biden-promised-reopen-jerusalem-consulate-083008361.html,60.0,1.0,1.0,0.2,1.0,1.0,0.5,0.0,0.62
t_Biden  warns  of  US  economy  issues.png,https://www.theguardian.com/us-news/2021/oct/04/joe-biden-debt-limit-republicans-democrats,3.23,3.02,3.125,https://www.theguardian.com/us-news/2021/oct/04/joe-biden-debt-limit-republicans-democrats,78.0,1.0,0.0,0.6,1.0,1.0,0.8,0.81,0.66
t_Bidens  fitness  questioned  after  Afghanistan  issues.png,https://www.foxnews.com/politics/republican-senators-biden-fitness-afghanistan-debacle,4.04,4.95,4.495,,,,,,,,,,
t_bill  clinton  unwell  to  attend  colin  powells  funeral.png,https://www.independent.co.uk/news/world/americas/us-politics/bill-clinton-colin-powell-funeral-b1952523.html,4.13,4.32,4.225,https://www.independent.co.uk/news/world/americas/us-politics/bill-clinton-colin-powell-funeral-b1952523.html,74.0,1.0,0.0,0.2,1.0,1.0,0.8,0.76,0.66
t_border  patrol  makes  million  arrests  in   21.png,https://www.wsj.com/articles/border-patrol-makes-about-1-66-million-arrests-at-southern-border-in-2021-fiscal-year-11634932866,3.82,4.17,3.995,https://www.wsj.com/articles/border-patrol-makes-about-1-66-million-arrests-at-southern-border-in-2021-fiscal-year-11634932866,77.0,1.0,0.0,0.4,0.0,0.0,0.8,0.76,1.0
t_Boston  elects  first  woman  asian  american  mayor.png,https://apnews.com/article/election-2021-boston-mayor-f7a18efbbb6068ed947df4c2d75ec500,4.57,4.48,4.525,https://apnews.com/article/election-2021-boston-mayor-f7a18efbbb6068ed947df4c2d75ec500,59.0,0.0,0.0,0.0,1.0,1.0,1.0,0.47,1.0
t_centrist  Democrats  block  Biden's  agenda.png,https://www.theguardian.com/us-news/2021/oct/03/joe-manchin-kyrsten-sinema-democrats-biden,4.08,4.33,4.205,https://www.theguardian.com/us-news/2021/oct/03/joe-manchin-kyrsten-sinema-democrats-biden,81.0,1.0,0.0,1.0,1.0,1.0,0.8,0.82,0.8
t_Chicago  employees  challenge  vaccine  in  a  lawsuit.png,https://www.cnn.com/2021/10/22/us/chicago-lawsuit-vaccine-mandates/index.html,4.27,4.74,4.505,,,,,,,,,,
t_Colin  Powell  dies.png,https://www.cnn.com/2021/10/18/politics/colin-powell-dies/index.html,4.68,4.5,4.59,,,,,,,,,,
t_college  cost  up  but  not  pay.png,https://www.nbcwashington.com/news/business/money-report/college-costs-have-increased-by-169-since-1980-but-pay-for-young-workers-is-up-by-just-19-georgetown-report/2864624/,4.48,4.08,4.28,,,,,,,,,,
t_court  freezes  bidens  vax  rule.png,https://www.msn.com/en-us/news/politics/federal-court-freezes-biden-administrations-covid-19-vaccine-mandate-rule/vi-AAQp66i,4.27,4.63,4.45,,,,,,,,,,
t_covid  origins  unknown.png,https://www.nytimes.com/2021/10/29/us/politics/coronavirus-origin-intelligence-report.html,3.62,3.44,3.53,https://www.nytimes.com/2021/10/29/us/politics/coronavirus-origin-intelligence-report.html,71.0,1.0,0.0,0.2,1.0,1.0,0.8,0.78,0.65
